char* first_name,char* last_name,int overall_rating,int age,int jersey_number,int team_id,int pos_id,int speed,int strength,int toughness,int carrying,int catching,int throwAccuracy,int jukeMove,int kickAccuracy,int kickReturn,int block,int coverage,int tackle
Samori,Toure,67,27,83,1,20,90,53,81,65,78,10,78,17,45,34,17,32
Luke,Newman,66,23,65,1,8,70,87,87,23,23,6,11,14,10,74,14,30
Nahshon,Wright,66,27,25,1,2,89,54,87,62,74,10,69,16,30,26,66,59
Noah,Sewell,66,23,44,1,12,82,80,91,64,63,6,72,19,35,42,55,82
Jordan,McFadden,65,25,74,1,16,73,82,85,38,26,5,11,13,10,73,11,35
Josh,Blackwell,65,26,39,1,2,94,53,85,55,59,19,72,12,62,25,64,47
Bill,Murray,64,28,60,1,8,67,82,83,31,24,6,10,12,10,73,13,30
Chris,Williams,64,27,91,1,3,67,84,78,36,28,6,10,17,10,41,14,78
Case,Keenum,63,37,11,1,14,77,54,76,62,33,78,53,24,10,16,11,14
Jonathan,Ford,63,26,64,1,3,57,84,79,33,32,6,19,14,10,39,13,80
Major,Burns,63,23,35,1,5,89,61,86,60,64,17,67,15,42,30,64,68
Tysheem,Johnson,63,22,33,1,5,89,53,86,61,66,6,61,16,77,30,64,64
Maurice,Alexander,62,28,13,1,20,90,43,72,67,73,51,82,17,84,27,29,24
Chris,Glaser,61,25,63,1,1,65,86,80,26,28,8,21,11,10,74,10,32
Power,Echols,61,22,57,1,12,82,63,87,59,55,6,45,18,10,35,60,79
Doug,Kramer Jr,60,27,68,1,1,74,81,76,35,28,6,10,18,10,72,10,35
Stephen,Carlson,60,28,88,1,19,79,70,83,74,76,10,65,19,39,55,21,37
Amen,Ogbongbemiga,59,26,45,1,17,83,68,87,48,46,6,62,25,10,36,44,73
Tyson,Bagent,58,25,17,1,14,79,59,87,60,25,72,45,26,10,17,13,20
Scott,Daly,57,31,46,1,10,71,72,74,63,49,7,27,15,10,45,17,51
Joshua,Miles,55,29,78,1,11,64,85,78,46,30,6,10,11,10,71,13,45
Ja'Marr,Chase,99,25,1,2,20,95,73,88,71,98,15,90,17,60,42,15,34
Joe,Burrow,97,28,9,2,14,84,68,97,62,40,97,64,17,10,18,31,36
Trey,Hendrickson,92,30,91,2,15,84,82,84,41,44,6,39,17,10,32,39,86
Tee,Higgins,87,26,5,2,20,91,71,84,76,97,32,79,13,65,40,23,33
Logan,Wilson,82,29,55,2,12,86,74,90,60,77,16,47,55,10,29,70,88
Cam,Taylor-Britt,81,25,29,2,2,93,64,83,64,78,44,73,15,55,26,79,67
Chase,Brown,81,25,30,2,4,93,69,83,88,68,34,86,13,70,45,14,27
Orlando,Brown Jr,80,29,75,2,11,59,94,87,28,23,6,11,13,10,77,14,33
DJ,Turner II,79,24,20,2,2,96,43,83,53,69,16,77,15,65,25,77,54
Mike,Gesicki,79,29,88,2,19,84,76,82,79,88,10,78,14,15,58,13,30
Geno,Stone,78,26,22,2,5,87,58,89,65,82,25,67,22,55,15,74,65
Ted,Karras,78,32,64,2,1,69,86,90,31,26,6,10,21,11,69,12,30
B.J.,Hill,77,29,92,2,3,73,88,89,43,43,6,33,12,10,33,25,88
Dax,Hill,77,24,23,2,2,93,56,87,63,71,10,73,15,40,25,71,65
Shemar,Stewart,77,21,97,2,7,86,87,88,42,40,6,42,20,20,34,21,72
Amarius,Mims,76,22,71,2,18,70,91,85,48,49,10,43,26,10,80,12,35
Jordan,Battle,76,24,27,2,5,88,63,91,65,72,21,70,15,70,29,70,77
Samaje,Perine,76,29,34,2,4,86,84,80,97,73,23,78,22,52,54,14,40
Demetrius,Knight Jr.,74,25,44,2,17,86,72,90,63,65,28,55,20,10,35,61,83
Evan,McPherson,74,26,2,2,6,75,37,54,21,32,22,12,79,10,14,13,16
Kris,Jenkins Jr,74,23,90,2,3,75,87,90,44,46,10,38,23,10,33,26,83
Lucas,Patrick,74,32,62,2,16,70,84,86,26,24,6,17,21,14,80,12,34
Ryan,Rehkow,73,26,8,2,13,68,53,78,33,29,15,10,76,10,15,10,28
Cordell,Volson,72,27,67,2,8,63,85,78,44,37,8,33,37,10,81,18,42
Joseph,Ossai,72,25,58,2,7,84,80,85,57,53,6,34,38,10,31,50,79
Andrei,Iosivas,71,25,80,2,20,92,67,86,73,83,15,75,21,50,27,10,28
Cam,Sample,71,25,96,2,7,77,78,82,36,35,6,35,30,6,32,43,84
Dylan,Fairchild,71,22,63,2,8,71,86,88,39,27,6,16,12,10,78,11,18
Josh,Newton,71,24,28,2,2,89,61,79,63,77,24,75,18,64,30,71,55
Tahj,Brooks,71,23,25,2,4,88,68,92,91,70,19,79,23,73,41,26,35
Taven,Bryan,71,29,70,2,3,77,88,94,37,31,10,32,13,10,38,26,81
Charlie,Jones,70,26,15,2,20,90,56,83,73,86,10,70,14,85,33,26,34
Erick,All Jr,70,24,83,2,19,86,72,86,73,80,10,67,12,25,58,19,46
Jermaine,Burton,70,24,81,2,20,91,58,84,74,86,10,75,12,43,34,14,31
Myles,Murphy,70,23,99,2,15,88,82,88,45,40,34,39,14,10,39,33,76
Oren,Burks,70,30,42,2,17,87,72,92,63,70,6,49,13,10,32,66,81
Cody,Ford,69,28,61,2,16,67,87,88,36,23,6,10,12,10,77,14,14
Marco,Wilson,69,26,24,2,2,91,66,85,53,67,6,68,15,58,25,68,48
McKinnley,Jackson,69,23,93,2,3,64,84,83,40,22,15,38,17,8,28,18,80
T.J.,Slaton,69,27,98,2,3,69,87,88,24,22,6,16,15,30,56,16,81
Barrett,Carter,68,22,49,2,12,85,72,88,68,61,6,61,18,10,37,60,78
Cedric,Johnson,68,22,52,2,15,85,79,82,38,40,6,19,10,10,32,43,76
Desmond,Ridder,68,26,4,2,14,88,64,94,57,48,79,61,15,11,17,11,27
Drew,Sample,68,29,89,2,19,82,73,86,73,77,15,57,14,15,62,20,43
Jake,Browning,68,29,6,2,14,79,57,90,66,39,80,56,47,10,12,12,19
Isaiah,Williams,67,24,18,2,20,87,59,82,76,81,57,77,30,79,37,13,24
Jalen,Rivers,67,22,74,2,11,63,83,83,40,21,6,15,23,24,76,12,24
Daijahn,Anthony,66,24,33,2,5,88,56,88,58,69,19,71,15,60,32,67,70
Isaiah,Thomas,66,26,51,2,15,82,79,81,40,38,6,39,15,10,33,25,72
Jaylen,Key,66,25,43,2,5,87,53,85,59,66,24,66,11,53,31,65,69
McTelvin,Agim,66,27,72,2,3,73,84,85,40,36,6,24,21,10,40,27,80
Tanner,Hudson,66,30,87,2,19,82,70,77,68,82,10,60,19,18,55,18,32
DJ,Ivey,65,25,38,2,2,90,54,78,59,64,6,69,16,55,27,68,56
Kendall,Milton,65,23,36,2,4,86,72,82,86,66,15,78,12,83,28,15,31
Tycen,Anderson,65,26,26,2,5,92,59,74,57,58,8,72,14,45,27,64,60
Eric,Gregory,64,24,94,2,3,68,86,86,37,35,6,20,14,10,36,19,76
Gary,Brightwell,64,27,32,2,4,85,73,85,84,59,23,77,14,75,39,22,37
Joe,Giles-Harris,64,28,53,2,17,83,69,87,45,53,6,45,13,10,31,53,81
Mitchell,Tinsley,64,25,82,2,20,86,60,87,73,79,25,75,18,64,42,22,31
Seth,McLaughlin,64,24,68,2,1,63,89,84,24,24,6,10,14,10,76,12,24
Tanner,McLachlan,64,26,84,2,19,85,74,87,72,78,15,67,15,30,56,17,40
Andrew,Stueber,63,26,73,2,18,60,82,88,20,21,6,14,14,10,72,11,39
Cal,Adomitis,63,27,48,2,10,73,69,74,65,64,18,44,11,10,50,14,54
Kendric,Pryor,63,27,19,2,20,93,52,81,69,76,27,81,15,63,36,26,27
Jalen,Davis,62,29,35,2,2,88,53,78,63,69,6,78,25,73,25,63,57
Maema,Njongmeta,62,24,45,2,12,80,66,85,46,53,6,37,14,10,32,58,79
Matt,Lee,62,24,65,2,1,71,82,77,34,35,10,10,14,10,74,13,31
Nate,Brooks,62,28,41,2,2,84,55,76,60,71,6,68,13,45,25,64,50
Raymond,Johnson III,62,26,56,2,7,79,75,81,38,35,6,39,16,10,32,22,75
Shaka,Heyward,62,25,50,2,17,88,74,84,52,51,7,31,12,15,30,57,77
Cam,Grandy,61,24,85,2,19,76,77,85,73,78,10,66,22,35,58,22,38
Jaxson,Kirkland,60,27,60,2,8,63,80,86,28,24,6,10,19,10,67,10,28
Andrew,Coker,59,24,79,2,11,60,84,80,29,29,11,21,8,5,70,10,30
Devin,Cochran,59,27,76,2,18,69,83,79,35,24,6,10,14,10,70,10,32
Josh,Allen,99,29,17,3,14,88,81,98,61,40,92,81,14,13,17,15,32
Dion,Dawkins,91,31,73,3,11,75,92,86,28,41,6,22,22,10,87,14,31
James,Cook,89,25,4,3,4,92,67,84,91,70,15,91,14,74,43,29,40
Greg,Rousseau,88,25,50,3,7,86,83,83,48,51,6,42,19,9,37,40,85
Christian,Benford,85,24,47,3,2,88,65,84,61,75,6,70,12,45,26,86,72
Joey,Bosa,85,30,97,3,15,79,87,87,43,47,6,33,19,9,33,32,88
Spencer,Brown,85,27,79,3,18,74,91,85,50,55,6,10,25,10,88,14,42
Matt,Milano,84,31,58,3,17,86,78,86,52,70,6,51,20,10,34,75,81
Taron,Johnson,84,29,7,3,2,90,63,80,58,73,6,73,11,38,28,83,63
Khalil,Shakir,82,25,10,3,20,90,63,80,74,94,26,88,15,76,32,14,25
Ed,Oliver,81,27,91,3,3,82,89,89,32,31,6,39,12,10,38,26,84
Shaq,Thompson,81,31,45,3,12,85,75,87,72,77,6,82,20,10,35,66,85
DaQuan,Jones,79,33,92,3,3,70,88,84,39,24,6,10,17,10,31,30,82
Reggie,Gilliam,79,28,41,3,4,87,76,86,70,74,21,60,12,38,78,34,54
Taylor,Rapp,79,27,9,3,5,86,63,84,61,77,18,67,14,57,23,71,83
Terrel,Bernard,79,26,8,3,12,86,67,88,49,74,18,61,13,30,32,64,85
Connor,McGovern,78,27,66,3,1,69,87,84,40,35,10,10,25,10,75,14,40
Maxwell,Hairston,78,22,31,3,2,96,59,86,63,74,17,79,19,47,29,78,61
Dawson,Knox,77,28,88,3,19,86,72,85,71,84,23,62,12,25,59,15,31
Elijah,Moore,77,25,18,3,20,92,59,86,76,84,12,87,13,77,34,15,24
Joshua,Palmer,77,25,5,3,20,88,65,89,75,84,15,76,13,55,31,17,26
A.J.,Epenesa,76,26,57,3,15,79,85,90,51,53,6,36,15,16,31,24,82
Curtis,Samuel,76,29,1,3,20,90,64,74,73,86,10,85,15,75,33,24,26
Keon,Coleman,76,22,0,3,20,87,72,84,74,87,46,78,20,77,30,28,40
Larry,Ogunjobi,76,31,99,3,3,74,89,89,31,35,6,31,17,14,40,27,83
Dalton,Kincaid,75,25,86,3,19,86,71,83,77,85,10,73,19,39,58,18,37
David,Edwards,75,28,76,3,8,68,82,90,45,46,34,34,11,10,80,12,39
Dorian,Williams,75,24,42,3,17,89,63,76,55,65,12,65,16,42,30,65,88
Michael,Hoecht,75,27,55,3,15,84,83,88,52,33,6,51,6,35,34,48,79
Damar,Hamlin,74,27,3,3,5,88,62,78,63,70,6,68,20,51,34,66,70
Ray,Davis,74,25,22,3,4,88,78,85,93,71,26,82,20,69,33,12,33
T.J.,Sanders,74,22,98,3,3,74,88,89,39,20,6,19,14,22,35,16,78
Tre'Davious,White,74,30,27,3,2,90,75,81,65,74,23,82,18,80,22,75,64
Tyler,Bass,74,28,2,3,6,85,40,60,33,35,30,10,77,10,12,12,29
Ja'Marcus,Ingram,73,27,46,3,2,90,68,82,60,64,10,69,16,30,26,70,67
Landon,Jackson,73,22,94,3,7,83,81,84,41,35,13,31,16,25,37,31,81
Laviska,Shenault Jr,73,26,15,3,20,88,74,85,78,80,25,87,14,78,49,29,52
O'Cyrus,Torrence,73,25,64,3,16,61,91,91,34,25,6,10,13,10,73,8,35
Ty,Johnson,73,27,26,3,4,90,64,79,91,67,15,80,16,81,30,14,31
Cam,Lewis,72,28,39,3,5,90,51,83,60,60,6,73,13,47,26,72,59
Cole,Bishop,72,22,24,3,5,91,64,87,65,66,30,67,28,60,27,70,66
Darrick,Forrest,72,26,28,3,5,91,67,78,55,73,12,69,17,66,31,68,73
Dorian,Strong,72,23,43,3,2,89,60,87,58,73,13,70,17,82,30,71,67
KJ,Hamler,72,26,19,3,20,93,58,81,73,78,15,81,14,82,38,18,24
Dane,Jackson,71,28,23,3,2,88,54,85,65,65,34,73,34,50,25,75,52
Darrynton,Evans,71,27,21,3,4,93,69,79,89,67,32,78,14,81,32,33,39
Reid,Ferguson,71,31,69,3,10,73,65,83,54,57,16,51,19,18,43,18,33
DeWayne,Carter,70,24,90,3,3,73,82,88,40,22,15,44,17,8,28,18,79
Brad,Robbins,69,26,40,3,13,75,47,75,25,26,26,26,76,10,16,11,28
Deone,Walker,69,21,96,3,3,61,82,86,42,30,11,31,18,24,34,20,79
Javon,Solomon,69,24,56,3,15,82,77,81,33,47,6,47,10,10,37,38,79
Joe,Andreessen,69,25,44,3,12,84,77,86,63,66,6,58,20,10,32,57,80
Jordan,Hancock,69,22,37,3,5,91,60,84,56,71,14,71,30,51,30,66,60
Kendrick,Green,69,26,53,3,16,75,86,79,29,23,6,10,11,10,78,12,48
Edefuan,Ulofoshio,67,25,48,3,17,87,71,89,52,58,15,59,35,35,37,64,80
Marcus,Harris,67,24,72,3,3,67,83,88,40,36,6,24,21,10,29,27,81
Alec,Anderson,66,25,70,3,8,60,85,83,45,40,6,10,20,10,75,14,45
Kaden,Prather,66,22,81,3,20,90,67,85,70,79,11,71,26,62,38,32,46
Sedrick,Van Pran-Granger,66,23,62,3,1,66,82,87,25,24,8,10,9,10,75,10,31
Brandon,Codrington,65,24,29,3,2,89,61,82,62,57,6,76,12,80,29,65,64
Chase,Lundt,65,23,77,3,18,69,82,87,44,37,6,26,12,10,74,12,25
Mike,White,65,30,14,3,14,69,54,96,57,31,80,41,15,10,19,14,26
Tyrell,Shavers,65,26,80,3,20,91,55,85,69,78,22,81,19,53,35,23,28
Zion,Logue,65,24,93,3,3,68,83,85,45,34,6,10,15,10,32,20,80
Casey,Rogers,64,26,71,3,3,77,83,88,32,33,13,18,17,21,23,16,73
Mitchell,Trubisky,64,31,11,3,14,84,71,86,63,44,77,68,23,10,21,16,35
Baylon,Spector,63,26,54,3,9,86,67,87,60,54,33,57,19,35,35,59,73
Ryan,Van Demark,63,27,74,3,18,63,83,85,36,35,6,10,11,10,75,12,40
Travis,Clayton,63,24,67,3,11,79,79,81,41,39,21,33,46,10,77,9,33
Tylan,Grable,63,25,68,3,11,74,81,79,57,51,48,46,13,10,75,13,48
Frank,Gore Jr,61,23,20,3,4,84,66,92,81,64,38,76,31,44,24,13,28
Jackson,Hawes,61,24,85,3,19,78,72,91,70,73,16,64,27,23,61,19,33
Zach,Davidson,61,27,84,3,19,84,71,84,71,78,49,69,65,20,53,14,38
Shane,Buechele,52,27,6,3,14,74,51,86,61,32,73,55,21,10,25,16,19
Patrick,Surtain II,97,25,2,4,2,94,63,86,64,76,6,73,11,55,27,98,75
Quinn,Meinerz,95,26,77,4,16,76,95,92,22,25,6,18,13,10,96,15,32
Garett,Bolles,89,33,72,4,11,75,87,88,29,36,6,19,20,10,82,14,38
Dre,Greenlaw,86,28,57,4,12,85,72,84,55,71,6,51,12,10,36,76,90
Zach,Allen,86,28,99,4,3,76,94,87,42,50,6,40,12,10,42,41,85
Courtland,Sutton,85,29,14,4,20,90,75,87,72,85,54,83,15,33,41,27,33
Evan,Engram,85,30,1,4,19,87,66,76,74,92,18,79,16,59,56,28,42
Nik,Bonitto,84,25,15,4,15,88,82,74,49,60,29,44,12,10,33,45,77
Talanoa,Hufanga,84,25,9,4,5,89,58,85,61,76,32,67,18,44,34,78,76
Brandon,Jones,83,27,22,4,5,89,58,93,60,72,12,71,20,45,30,76,77
J.K.,Dobbins,82,26,27,4,4,90,74,84,91,66,23,89,16,60,40,15,30
Mike,McGlinchey,82,30,69,4,18,71,88,95,33,28,6,10,12,10,87,12,32
John,Franklin-Myers,80,28,98,4,3,78,90,85,26,38,9,31,12,10,32,29,84
Jonathon,Cooper,80,27,0,4,7,85,79,77,31,44,6,31,17,10,35,44,83
Bo,Nix,79,25,10,4,14,88,60,96,67,67,86,64,42,10,13,13,21
D.J.,Jones,78,30,93,4,3,73,88,89,31,38,6,25,19,9,41,24,84
Jahdae,Barron,78,23,12,4,2,93,54,91,62,75,6,76,15,55,22,77,59
Alex,Singleton,77,31,49,4,17,85,72,84,55,63,6,36,15,10,36,60,92
Marvin,Mims Jr,77,23,19,4,20,92,55,89,74,86,15,76,12,86,34,12,23
Wil,Lutz,77,31,3,4,6,70,54,70,40,18,21,10,82,10,16,14,26
Luke,Wattenberg,76,27,60,4,1,66,79,69,28,26,6,13,16,10,78,8,32
Riley,Moss,76,25,21,4,2,91,53,79,68,74,16,77,23,77,27,71,63
Ja'Quan,McMillian,75,25,29,4,2,88,56,79,58,77,27,74,15,45,24,78,64
Jaleel,McLaughlin,75,24,38,4,4,92,66,84,92,70,22,84,13,76,29,18,29
Ben,Powers,74,28,74,4,8,70,82,87,40,37,6,10,11,10,77,12,38
Devaughn,Vele,74,27,17,4,20,90,58,79,71,87,30,74,20,80,35,24,33
RJ,Harvey,74,24,37,4,4,92,73,81,87,68,51,85,26,79,35,27,39
Jonah,Elliss,73,22,52,4,7,81,74,84,28,26,6,27,19,10,31,44,77
Kris,Abrams-Draine,73,23,31,4,2,91,40,76,57,74,12,71,15,55,25,74,66
Malcolm,Roach,73,27,97,4,3,74,83,80,40,49,6,21,25,11,31,30,82
P.J.,Locke,73,28,6,4,5,89,66,89,58,67,12,64,18,60,20,69,66
Trent,Sherfield Sr,72,29,5,4,20,89,54,68,73,85,35,80,11,60,40,37,50
Troy,Franklin,72,22,11,4,20,92,58,82,76,81,10,81,18,44,34,29,35
Adam,Trautman,71,28,82,4,19,82,74,89,77,83,54,66,20,35,60,16,33
Damarri,Mathis,71,26,27,4,2,93,61,86,55,67,6,73,11,50,25,70,48
Drew,Sanders,71,23,41,4,12,84,72,84,67,64,45,51,15,10,37,66,76
Jeremy,Crawshaw,71,24,16,4,13,77,60,78,44,35,27,24,76,10,18,11,32
Justin,Strnad,71,29,40,4,17,88,71,77,58,60,12,43,15,30,31,65,82
A.T.,Perry,70,25,87,4,20,90,68,90,74,82,10,74,49,44,45,28,38
Audric,Estime,70,21,23,4,4,87,75,91,86,66,15,78,12,65,34,15,35
Michael,Burton,70,33,20,4,4,80,82,75,74,63,10,61,14,35,76,13,45
Sai'vion,Jones,70,22,95,4,3,81,80,88,38,29,12,38,21,32,36,29,76
Eyioma,Uwazurike,69,27,96,4,3,62,83,92,32,31,6,15,18,15,40,14,82
Pat,Bryant,69,22,13,4,20,85,69,90,74,80,18,78,25,73,47,35,37
Sam,Franklin Jr,69,29,42,4,5,86,66,79,57,68,6,73,17,45,27,68,63
Tyler,Badie,69,25,28,4,4,90,74,85,90,69,15,76,15,72,39,24,34
Calvin,Throckmorton,68,29,76,4,8,64,84,93,30,39,6,22,21,10,74,18,49
Dondrea,Tillman,68,27,92,4,15,73,77,81,36,35,6,50,14,10,39,37,81
Matt,Henningsen,68,26,91,4,3,73,82,87,40,33,9,22,18,10,41,15,79
Matt,Peart,68,28,79,4,11,69,86,89,40,27,5,10,12,10,77,13,37
Mitchell,Fraboni,67,28,48,4,10,80,75,83,60,45,17,42,14,10,52,18,55
Que,Robinson,67,24,51,4,7,84,73,88,52,56,6,46,20,10,36,61,79
Alex,Forsyth,66,26,54,4,1,66,86,85,23,34,6,24,22,10,74,13,34
Blake,Watson,66,25,25,4,4,91,72,87,84,70,20,76,18,73,38,22,34
JL,Skinner,66,24,34,4,5,89,59,88,62,75,15,69,23,35,33,64,67
Nick,Gargiulo,66,25,66,4,16,64,87,77,41,43,5,30,20,10,74,12,33
Delarrin,Turner-Yell,65,25,32,4,5,90,53,74,60,69,12,69,17,40,26,64,61
Devon,Key,65,27,26,4,5,86,66,86,60,58,12,68,12,30,30,63,69
Jordan,Jackson,65,27,94,4,3,74,78,86,30,24,6,22,21,10,35,26,78
Alex,Palczewski,64,26,63,4,18,63,82,78,43,25,7,26,10,5,77,12,38
Keidron,Smith,64,25,43,4,5,86,62,83,59,72,12,64,15,44,26,64,69
Lucas,Krull,64,27,85,4,19,84,68,77,72,78,39,64,11,25,55,14,36
Mario,Goodrich,64,25,46,4,2,88,52,84,59,65,6,70,14,45,25,64,56
Clay,Webb,63,25,64,4,8,69,87,81,24,21,6,10,13,10,74,12,21
Frank,Crum,63,25,73,4,11,74,85,89,29,19,6,10,14,15,75,14,33
Levelle,Bailey,63,24,56,4,17,81,69,83,62,68,6,48,16,10,31,61,77
Michael,Bandy,63,27,83,4,20,86,49,80,71,77,21,76,20,60,32,22,25
Jarrett,Stidham,62,29,8,4,14,78,62,89,60,53,76,50,26,10,17,15,20
Andrew,Farmer II,61,25,53,4,15,82,79,88,35,37,16,39,9,10,38,36,77
Nate,Adkins,61,26,45,4,19,77,74,85,73,79,20,59,19,15,60,23,38
Caleb,Lohner,60,24,84,4,19,83,75,83,70,74,12,60,14,24,49,21,37
Johnny,Walker Jr.,60,23,59,4,17,78,73,87,59,52,6,51,16,10,35,57,78
Will,Sherman,59,26,78,4,16,65,81,75,25,31,6,20,17,10,69,12,36
Sam,Ehlinger,56,26,4,4,14,78,67,90,65,70,72,69,14,10,26,12,27
Myles,Garrett,99,29,95,5,15,87,96,87,55,52,29,36,20,10,31,51,92
Denzel,Ward,90,28,21,5,2,93,61,86,66,78,11,80,13,67,26,90,49
David,Njoku,89,29,85,5,19,86,72,78,77,88,10,79,19,40,57,25,36
Joel,Bitonio,85,33,75,5,8,73,88,95,40,28,6,10,21,10,85,16,30
Jerry,Jeudy,84,26,3,5,20,91,64,88,75,87,15,91,17,69,37,27,33
Jeremiah,Owusu-Koramoah,83,25,6,5,17,88,65,88,57,72,35,55,17,35,32,73,83
Corey,Bojorquez,82,29,13,5,13,70,41,61,33,24,25,10,87,10,17,15,28
Grant,Delpit,81,26,9,5,5,89,60,93,69,75,6,65,11,55,28,77,70
Greg,Newsome II,81,25,0,5,2,92,60,82,61,70,6,75,12,40,27,79,45
Mason,Graham,80,21,94,5,3,78,90,94,38,28,8,24,18,31,38,21,81
Teven,Jenkins,80,27,74,5,16,74,91,92,23,19,6,10,14,15,84,10,31
Jack,Conklin,79,31,78,5,18,69,88,95,29,24,5,11,19,9,81,13,34
Wyatt,Teller,79,30,77,5,16,72,93,90,40,36,23,28,12,10,83,10,50
Rayshawn,Jenkins,78,31,28,5,5,88,72,87,65,78,14,71,15,65,25,69,77
Jerome,Ford,77,25,34,5,4,91,73,83,94,68,23,85,15,79,42,20,39
Jerome,Baker,77,28,17,5,17,89,74,84,61,66,6,64,12,10,33,68,84
Shelby,Harris,77,34,93,5,3,75,85,75,46,42,6,10,21,10,30,23,87
Diontae,Johnson,76,29,16,5,20,89,61,83,70,84,43,86,52,82,34,19,29
